signal,from_date,to_date,preferred_direction,selected_quantile,previous_members,current_members,overlapping_members,turnover
sma_50_200_spread_sector_neutral,2015-05-29,2015-06-30,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2015-06-30,2015-07-31,higher_is_better,5,10,10,9,0.09999999999999998
sma_50_200_spread_sector_neutral,2015-07-31,2015-08-31,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2015-08-31,2015-09-30,higher_is_better,5,10,10,7,0.30000000000000004
sma_50_200_spread_sector_neutral,2015-09-30,2015-10-30,higher_is_better,5,10,10,9,0.09999999999999998
sma_50_200_spread_sector_neutral,2015-10-30,2015-11-30,higher_is_better,5,10,10,9,0.09999999999999998
sma_50_200_spread_sector_neutral,2015-11-30,2015-12-31,higher_is_better,5,10,10,6,0.4
sma_50_200_spread_sector_neutral,2015-12-31,2016-01-29,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2016-01-29,2016-02-29,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2016-02-29,2016-03-31,higher_is_better,5,10,10,9,0.09999999999999998
sma_50_200_spread_sector_neutral,2016-03-31,2016-04-29,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2016-04-29,2016-05-31,higher_is_better,5,10,10,9,0.09999999999999998
sma_50_200_spread_sector_neutral,2016-05-31,2016-06-30,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2016-06-30,2016-07-29,higher_is_better,5,10,10,9,0.09999999999999998
sma_50_200_spread_sector_neutral,2016-07-29,2016-08-31,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2016-08-31,2016-09-30,higher_is_better,5,10,10,5,0.5
sma_50_200_spread_sector_neutral,2016-09-30,2016-10-31,higher_is_better,5,10,10,9,0.09999999999999998
sma_50_200_spread_sector_neutral,2016-10-31,2016-11-30,higher_is_better,5,10,10,7,0.30000000000000004
sma_50_200_spread_sector_neutral,2016-11-30,2016-12-30,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2016-12-30,2017-01-31,higher_is_better,5,10,10,9,0.09999999999999998
sma_50_200_spread_sector_neutral,2017-01-31,2017-02-28,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2017-02-28,2017-03-31,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2017-03-31,2017-04-28,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2017-04-28,2017-05-31,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2017-05-31,2017-06-30,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2017-06-30,2017-07-31,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2017-07-31,2017-08-31,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2017-08-31,2017-09-29,higher_is_better,5,10,10,9,0.09999999999999998
sma_50_200_spread_sector_neutral,2017-09-29,2017-10-31,higher_is_better,5,10,10,9,0.09999999999999998
sma_50_200_spread_sector_neutral,2017-10-31,2017-11-30,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2017-11-30,2017-12-29,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2017-12-29,2018-01-31,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2018-01-31,2018-02-28,higher_is_better,5,10,10,7,0.30000000000000004
sma_50_200_spread_sector_neutral,2018-02-28,2018-03-29,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2018-03-29,2018-04-30,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2018-04-30,2018-05-31,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2018-05-31,2018-06-29,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2018-06-29,2018-07-31,higher_is_better,5,10,10,9,0.09999999999999998
sma_50_200_spread_sector_neutral,2018-07-31,2018-08-31,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2018-08-31,2018-09-28,higher_is_better,5,10,10,9,0.09999999999999998
sma_50_200_spread_sector_neutral,2018-09-28,2018-10-31,higher_is_better,5,10,10,7,0.30000000000000004
sma_50_200_spread_sector_neutral,2018-10-31,2018-11-30,higher_is_better,5,10,10,5,0.5
sma_50_200_spread_sector_neutral,2018-11-30,2018-12-31,higher_is_better,5,10,10,7,0.30000000000000004
sma_50_200_spread_sector_neutral,2018-12-31,2019-01-31,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2019-01-31,2019-02-28,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2019-02-28,2019-03-29,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2019-03-29,2019-04-30,higher_is_better,5,10,10,6,0.4
sma_50_200_spread_sector_neutral,2019-04-30,2019-05-31,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2019-05-31,2019-06-28,higher_is_better,5,10,10,7,0.30000000000000004
sma_50_200_spread_sector_neutral,2019-06-28,2019-07-31,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2019-07-31,2019-08-30,higher_is_better,5,10,10,8,0.19999999999999996
sma_50_200_spread_sector_neutral,2019-08-30,2019-09-30,higher_is_better,5,10,10,9,0.09999999999999998
sma_50_200_spread_sector_neutral,2019-09-30,2019-10-31,higher_is_better,5,10,10,6,0.4
sma_50_200_spread_sector_neutral,2019-10-31,2019-11-29,higher_is_better,5,10,10,6,0.4
sma_50_200_spread_sector_neutral,2019-11-29,2019-12-31,higher_is_better,5,10,10,7,0.30000000000000004
positive_day_ratio_60d_sector_neutral,2014-03-31,2014-04-30,lower_is_better,1,10,10,3,0.7
positive_day_ratio_60d_sector_neutral,2014-04-30,2014-05-30,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2014-05-30,2014-06-30,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2014-06-30,2014-07-31,lower_is_better,1,10,10,5,0.5
positive_day_ratio_60d_sector_neutral,2014-07-31,2014-08-29,lower_is_better,1,10,10,7,0.30000000000000004
positive_day_ratio_60d_sector_neutral,2014-08-29,2014-09-30,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2014-09-30,2014-10-31,lower_is_better,1,10,10,7,0.30000000000000004
positive_day_ratio_60d_sector_neutral,2014-10-31,2014-11-28,lower_is_better,1,10,10,4,0.6
positive_day_ratio_60d_sector_neutral,2014-11-28,2014-12-31,lower_is_better,1,10,10,7,0.30000000000000004
positive_day_ratio_60d_sector_neutral,2014-12-31,2015-01-30,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2015-01-30,2015-02-27,lower_is_better,1,10,10,5,0.5
positive_day_ratio_60d_sector_neutral,2015-02-27,2015-03-31,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2015-03-31,2015-04-30,lower_is_better,1,10,10,4,0.6
positive_day_ratio_60d_sector_neutral,2015-04-30,2015-05-29,lower_is_better,1,10,10,7,0.30000000000000004
positive_day_ratio_60d_sector_neutral,2015-05-29,2015-06-30,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2015-06-30,2015-07-31,lower_is_better,1,10,10,4,0.6
positive_day_ratio_60d_sector_neutral,2015-07-31,2015-08-31,lower_is_better,1,10,10,5,0.5
positive_day_ratio_60d_sector_neutral,2015-08-31,2015-09-30,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2015-09-30,2015-10-30,lower_is_better,1,10,10,7,0.30000000000000004
positive_day_ratio_60d_sector_neutral,2015-10-30,2015-11-30,lower_is_better,1,10,10,7,0.30000000000000004
positive_day_ratio_60d_sector_neutral,2015-11-30,2015-12-31,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2015-12-31,2016-01-29,lower_is_better,1,10,10,7,0.30000000000000004
positive_day_ratio_60d_sector_neutral,2016-01-29,2016-02-29,lower_is_better,1,10,10,4,0.6
positive_day_ratio_60d_sector_neutral,2016-02-29,2016-03-31,lower_is_better,1,10,10,5,0.5
positive_day_ratio_60d_sector_neutral,2016-03-31,2016-04-29,lower_is_better,1,10,10,4,0.6
positive_day_ratio_60d_sector_neutral,2016-04-29,2016-05-31,lower_is_better,1,10,10,4,0.6
positive_day_ratio_60d_sector_neutral,2016-05-31,2016-06-30,lower_is_better,1,10,10,4,0.6
positive_day_ratio_60d_sector_neutral,2016-06-30,2016-07-29,lower_is_better,1,10,10,5,0.5
positive_day_ratio_60d_sector_neutral,2016-07-29,2016-08-31,lower_is_better,1,10,10,4,0.6
positive_day_ratio_60d_sector_neutral,2016-08-31,2016-09-30,lower_is_better,1,10,10,7,0.30000000000000004
positive_day_ratio_60d_sector_neutral,2016-09-30,2016-10-31,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2016-10-31,2016-11-30,lower_is_better,1,10,10,5,0.5
positive_day_ratio_60d_sector_neutral,2016-11-30,2016-12-30,lower_is_better,1,10,10,4,0.6
positive_day_ratio_60d_sector_neutral,2016-12-30,2017-01-31,lower_is_better,1,10,10,4,0.6
positive_day_ratio_60d_sector_neutral,2017-01-31,2017-02-28,lower_is_better,1,10,10,5,0.5
positive_day_ratio_60d_sector_neutral,2017-02-28,2017-03-31,lower_is_better,1,10,10,5,0.5
positive_day_ratio_60d_sector_neutral,2017-03-31,2017-04-28,lower_is_better,1,10,10,7,0.30000000000000004
positive_day_ratio_60d_sector_neutral,2017-04-28,2017-05-31,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2017-05-31,2017-06-30,lower_is_better,1,10,10,7,0.30000000000000004
positive_day_ratio_60d_sector_neutral,2017-06-30,2017-07-31,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2017-07-31,2017-08-31,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2017-08-31,2017-09-29,lower_is_better,1,10,10,5,0.5
positive_day_ratio_60d_sector_neutral,2017-09-29,2017-10-31,lower_is_better,1,10,10,3,0.7
positive_day_ratio_60d_sector_neutral,2017-10-31,2017-11-30,lower_is_better,1,10,10,4,0.6
positive_day_ratio_60d_sector_neutral,2017-11-30,2017-12-29,lower_is_better,1,10,10,7,0.30000000000000004
positive_day_ratio_60d_sector_neutral,2017-12-29,2018-01-31,lower_is_better,1,10,10,7,0.30000000000000004
positive_day_ratio_60d_sector_neutral,2018-01-31,2018-02-28,lower_is_better,1,10,10,7,0.30000000000000004
positive_day_ratio_60d_sector_neutral,2018-02-28,2018-03-29,lower_is_better,1,10,10,7,0.30000000000000004
positive_day_ratio_60d_sector_neutral,2018-03-29,2018-04-30,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2018-04-30,2018-05-31,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2018-05-31,2018-06-29,lower_is_better,1,10,10,3,0.7
positive_day_ratio_60d_sector_neutral,2018-06-29,2018-07-31,lower_is_better,1,10,10,5,0.5
positive_day_ratio_60d_sector_neutral,2018-07-31,2018-08-31,lower_is_better,1,10,10,5,0.5
positive_day_ratio_60d_sector_neutral,2018-08-31,2018-09-28,lower_is_better,1,10,10,7,0.30000000000000004
positive_day_ratio_60d_sector_neutral,2018-09-28,2018-10-31,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2018-10-31,2018-11-30,lower_is_better,1,10,10,4,0.6
positive_day_ratio_60d_sector_neutral,2018-11-30,2018-12-31,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2018-12-31,2019-01-31,lower_is_better,1,10,10,5,0.5
positive_day_ratio_60d_sector_neutral,2019-01-31,2019-02-28,lower_is_better,1,10,10,1,0.9
positive_day_ratio_60d_sector_neutral,2019-02-28,2019-03-29,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2019-03-29,2019-04-30,lower_is_better,1,10,10,5,0.5
positive_day_ratio_60d_sector_neutral,2019-04-30,2019-05-31,lower_is_better,1,10,10,7,0.30000000000000004
positive_day_ratio_60d_sector_neutral,2019-05-31,2019-06-28,lower_is_better,1,10,10,5,0.5
positive_day_ratio_60d_sector_neutral,2019-06-28,2019-07-31,lower_is_better,1,10,10,7,0.30000000000000004
positive_day_ratio_60d_sector_neutral,2019-07-31,2019-08-30,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2019-08-30,2019-09-30,lower_is_better,1,10,10,6,0.4
positive_day_ratio_60d_sector_neutral,2019-09-30,2019-10-31,lower_is_better,1,10,10,4,0.6
positive_day_ratio_60d_sector_neutral,2019-10-31,2019-11-29,lower_is_better,1,10,10,3,0.7
positive_day_ratio_60d_sector_neutral,2019-11-29,2019-12-31,lower_is_better,1,10,10,6,0.4
average_dollar_volume_20d_sector_neutral,2014-01-31,2014-02-28,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2014-02-28,2014-03-31,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2014-03-31,2014-04-30,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2014-04-30,2014-05-30,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2014-05-30,2014-06-30,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2014-06-30,2014-07-31,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2014-07-31,2014-08-29,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2014-08-29,2014-09-30,lower_is_better,1,10,10,7,0.30000000000000004
average_dollar_volume_20d_sector_neutral,2014-09-30,2014-10-31,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2014-10-31,2014-11-28,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2014-11-28,2014-12-31,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2014-12-31,2015-01-30,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2015-01-30,2015-02-27,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2015-02-27,2015-03-31,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2015-03-31,2015-04-30,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2015-04-30,2015-05-29,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2015-05-29,2015-06-30,lower_is_better,1,10,10,7,0.30000000000000004
average_dollar_volume_20d_sector_neutral,2015-06-30,2015-07-31,lower_is_better,1,10,10,6,0.4
average_dollar_volume_20d_sector_neutral,2015-07-31,2015-08-31,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2015-08-31,2015-09-30,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2015-09-30,2015-10-30,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2015-10-30,2015-11-30,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2015-11-30,2015-12-31,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2015-12-31,2016-01-29,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2016-01-29,2016-02-29,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2016-02-29,2016-03-31,lower_is_better,1,10,10,7,0.30000000000000004
average_dollar_volume_20d_sector_neutral,2016-03-31,2016-04-29,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2016-04-29,2016-05-31,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2016-05-31,2016-06-30,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2016-06-30,2016-07-29,lower_is_better,1,10,10,7,0.30000000000000004
average_dollar_volume_20d_sector_neutral,2016-07-29,2016-08-31,lower_is_better,1,10,10,7,0.30000000000000004
average_dollar_volume_20d_sector_neutral,2016-08-31,2016-09-30,lower_is_better,1,10,10,5,0.5
average_dollar_volume_20d_sector_neutral,2016-09-30,2016-10-31,lower_is_better,1,10,10,6,0.4
average_dollar_volume_20d_sector_neutral,2016-10-31,2016-11-30,lower_is_better,1,10,10,7,0.30000000000000004
average_dollar_volume_20d_sector_neutral,2016-11-30,2016-12-30,lower_is_better,1,10,10,7,0.30000000000000004
average_dollar_volume_20d_sector_neutral,2016-12-30,2017-01-31,lower_is_better,1,10,10,7,0.30000000000000004
average_dollar_volume_20d_sector_neutral,2017-01-31,2017-02-28,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2017-02-28,2017-03-31,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2017-03-31,2017-04-28,lower_is_better,1,10,10,7,0.30000000000000004
average_dollar_volume_20d_sector_neutral,2017-04-28,2017-05-31,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2017-05-31,2017-06-30,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2017-06-30,2017-07-31,lower_is_better,1,10,10,10,0.0
average_dollar_volume_20d_sector_neutral,2017-07-31,2017-08-31,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2017-08-31,2017-09-29,lower_is_better,1,10,10,10,0.0
average_dollar_volume_20d_sector_neutral,2017-09-29,2017-10-31,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2017-10-31,2017-11-30,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2017-11-30,2017-12-29,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2017-12-29,2018-01-31,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2018-01-31,2018-02-28,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2018-02-28,2018-03-29,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2018-03-29,2018-04-30,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2018-04-30,2018-05-31,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2018-05-31,2018-06-29,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2018-06-29,2018-07-31,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2018-07-31,2018-08-31,lower_is_better,1,10,10,8,0.19999999999999996
average_dollar_volume_20d_sector_neutral,2018-08-31,2018-09-28,lower_is_better,1,10,10,10,0.0
average_dollar_volume_20d_sector_neutral,2018-09-28,2018-10-31,lower_is_better,1,10,10,10,0.0
average_dollar_volume_20d_sector_neutral,2018-10-31,2018-11-30,lower_is_better,1,10,10,10,0.0
average_dollar_volume_20d_sector_neutral,2018-11-30,2018-12-31,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2018-12-31,2019-01-31,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2019-01-31,2019-02-28,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2019-02-28,2019-03-29,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2019-03-29,2019-04-30,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2019-04-30,2019-05-31,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2019-05-31,2019-06-28,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2019-06-28,2019-07-31,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2019-07-31,2019-08-30,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2019-08-30,2019-09-30,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2019-09-30,2019-10-31,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2019-10-31,2019-11-29,lower_is_better,1,10,10,9,0.09999999999999998
average_dollar_volume_20d_sector_neutral,2019-11-29,2019-12-31,lower_is_better,1,10,10,10,0.0
dollar_volume_change_20d_60d_sector_neutral,2014-03-31,2014-04-30,lower_is_better,1,10,10,3,0.7
dollar_volume_change_20d_60d_sector_neutral,2014-04-30,2014-05-30,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2014-05-30,2014-06-30,lower_is_better,1,10,10,3,0.7
dollar_volume_change_20d_60d_sector_neutral,2014-06-30,2014-07-31,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2014-07-31,2014-08-29,lower_is_better,1,10,10,1,0.9
dollar_volume_change_20d_60d_sector_neutral,2014-08-29,2014-09-30,lower_is_better,1,10,10,3,0.7
dollar_volume_change_20d_60d_sector_neutral,2014-09-30,2014-10-31,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2014-10-31,2014-11-28,lower_is_better,1,10,10,4,0.6
dollar_volume_change_20d_60d_sector_neutral,2014-11-28,2014-12-31,lower_is_better,1,10,10,1,0.9
dollar_volume_change_20d_60d_sector_neutral,2014-12-31,2015-01-30,lower_is_better,1,10,10,3,0.7
dollar_volume_change_20d_60d_sector_neutral,2015-01-30,2015-02-27,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2015-02-27,2015-03-31,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2015-03-31,2015-04-30,lower_is_better,1,10,10,1,0.9
dollar_volume_change_20d_60d_sector_neutral,2015-04-30,2015-05-29,lower_is_better,1,10,10,3,0.7
dollar_volume_change_20d_60d_sector_neutral,2015-05-29,2015-06-30,lower_is_better,1,10,10,3,0.7
dollar_volume_change_20d_60d_sector_neutral,2015-06-30,2015-07-31,lower_is_better,1,10,10,0,1.0
dollar_volume_change_20d_60d_sector_neutral,2015-07-31,2015-08-31,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2015-08-31,2015-09-30,lower_is_better,1,10,10,3,0.7
dollar_volume_change_20d_60d_sector_neutral,2015-09-30,2015-10-30,lower_is_better,1,10,10,3,0.7
dollar_volume_change_20d_60d_sector_neutral,2015-10-30,2015-11-30,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2015-11-30,2015-12-31,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2015-12-31,2016-01-29,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2016-01-29,2016-02-29,lower_is_better,1,10,10,3,0.7
dollar_volume_change_20d_60d_sector_neutral,2016-02-29,2016-03-31,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2016-03-31,2016-04-29,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2016-04-29,2016-05-31,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2016-05-31,2016-06-30,lower_is_better,1,10,10,0,1.0
dollar_volume_change_20d_60d_sector_neutral,2016-06-30,2016-07-29,lower_is_better,1,10,10,0,1.0
dollar_volume_change_20d_60d_sector_neutral,2016-07-29,2016-08-31,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2016-08-31,2016-09-30,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2016-09-30,2016-10-31,lower_is_better,1,10,10,1,0.9
dollar_volume_change_20d_60d_sector_neutral,2016-10-31,2016-11-30,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2016-11-30,2016-12-30,lower_is_better,1,10,10,6,0.4
dollar_volume_change_20d_60d_sector_neutral,2016-12-30,2017-01-31,lower_is_better,1,10,10,3,0.7
dollar_volume_change_20d_60d_sector_neutral,2017-01-31,2017-02-28,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2017-02-28,2017-03-31,lower_is_better,1,10,10,3,0.7
dollar_volume_change_20d_60d_sector_neutral,2017-03-31,2017-04-28,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2017-04-28,2017-05-31,lower_is_better,1,10,10,0,1.0
dollar_volume_change_20d_60d_sector_neutral,2017-05-31,2017-06-30,lower_is_better,1,10,10,4,0.6
dollar_volume_change_20d_60d_sector_neutral,2017-06-30,2017-07-31,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2017-07-31,2017-08-31,lower_is_better,1,10,10,0,1.0
dollar_volume_change_20d_60d_sector_neutral,2017-08-31,2017-09-29,lower_is_better,1,10,10,5,0.5
dollar_volume_change_20d_60d_sector_neutral,2017-09-29,2017-10-31,lower_is_better,1,10,10,1,0.9
dollar_volume_change_20d_60d_sector_neutral,2017-10-31,2017-11-30,lower_is_better,1,10,10,1,0.9
dollar_volume_change_20d_60d_sector_neutral,2017-11-30,2017-12-29,lower_is_better,1,10,10,3,0.7
dollar_volume_change_20d_60d_sector_neutral,2017-12-29,2018-01-31,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2018-01-31,2018-02-28,lower_is_better,1,10,10,5,0.5
dollar_volume_change_20d_60d_sector_neutral,2018-02-28,2018-03-29,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2018-03-29,2018-04-30,lower_is_better,1,10,10,1,0.9
dollar_volume_change_20d_60d_sector_neutral,2018-04-30,2018-05-31,lower_is_better,1,10,10,1,0.9
dollar_volume_change_20d_60d_sector_neutral,2018-05-31,2018-06-29,lower_is_better,1,10,10,1,0.9
dollar_volume_change_20d_60d_sector_neutral,2018-06-29,2018-07-31,lower_is_better,1,10,10,4,0.6
dollar_volume_change_20d_60d_sector_neutral,2018-07-31,2018-08-31,lower_is_better,1,10,10,1,0.9
dollar_volume_change_20d_60d_sector_neutral,2018-08-31,2018-09-28,lower_is_better,1,10,10,3,0.7
dollar_volume_change_20d_60d_sector_neutral,2018-09-28,2018-10-31,lower_is_better,1,10,10,4,0.6
dollar_volume_change_20d_60d_sector_neutral,2018-10-31,2018-11-30,lower_is_better,1,10,10,2,0.8
dollar_volume_change_20d_60d_sector_neutral,2018-11-30,2018-12-31,lower_is_better,1,10,10,1,0.9
dollar_volume_change_20d_60d_sector_neutral,2018-12-31,2019-01-31,lower_is_better,1,10,10,1,0.9
dollar_volume_change_20d_60d_sector_neutral,2019-01-31,2019-02-28,lower_is_better,1,10,10,3,0.7
